1. Dejan Mijač, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
912. Božidar Nikolć, docent, Fizički fakultet, Univerzitet u Beogradu
913. Sanja Tošić, naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
914. Jelena Karanović, naučni saradnik, Biološki fakultet, Univerzitet u Beogradu
915. Milena Cvijanović, naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
916. Ivana Tomić, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
917. Mirjana Brdar, docent, Tehnološki fakultet, Univerzitet u Novom Sadu
918. Ivana Mirović, viši nastavnik stranog jezika, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
919. Andrijana Berić, nastavnik stranog jezika, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
920. Ljubiša Topisirović, redovni profesor u penziji, Biološki fakultet, Univerzitet u Beogradu
921. Vladana Hamović, naučni savetnik u penziji, Institut za ekonomiku poljoprivrede, Beograd
922. Bore Jegdić, viši naučni saradnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
923. Biserka Komnenić, profesor, Visoka poslovna škola strukovnih studija
924. Neda Aničić, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
925. Dalibor Petrović, vanredni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
926. Branislav Cvetković, viši naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
927. Miroslav Andrić, vanredni profesor, Stomatološki fakultet Univerziteta u Beogradu
928. Tamara Saksida, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
929. Branka Dimitrijević, redovni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
930. Jelena Samardžić, naučni saradnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
931. Milan Radović, naučni savetnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
932. Slobodan Milonjić, naučni savetnik u penziji, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
933. Vlado Uljarević, asistent, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
934. Ivan Juranić, redovni profesor u penziji, Hemijski fakultet, Univerzitet u Beogradu
935. Aleksandra Mitrović, viši naučni saradnik, Institut za multidisciplinarna istraživanja, Univerzitet u Beogradu
936. Miroslav Lazić, viši naučni saradnik, Filozofski fakultet, Univerzitet u Beogradu
937. Dejan Karlečik, stručni saradnik, Akademija umetnosti, Univerzitet u Novom Sadu
938. Dušanka Savić-Pavićević, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
939. Vojislav Stojković, viši naučni saradnik u penziji, Institut za strategijska istraživanja, Beograd
940. Slobodan Vuković, naučni savetnik u penziji, Institut za fiziku, Univerzitet u Beogradu
941. Milan Subotić, viši naučni saradnik, Institut za evropske studije, Beograd
942. Velimir Jovanović, redovni profesor u penziji, Geografski fakultet Univerziteta u Beogradu
943. Ksenija Kolundžija, docent, Medicinski fakultet, Univerzitet u Novom Sadu
944. Katarina Zivković, istraživač-pripravnik, Prirodno-matematički fakultet, Univerzitet u Nišu
945. Dejan Mirčić, docent, , Državni univerzitet u Novom Pazaru
946. Petar Milenković, naučni saradnik, Institut za onkologiju i radiologiju Srbije
947. Branka B. Petković, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
948. Veljko Jovanović, vanredni profesor, Filozofski fakultet, Univerzitet u Novom Sadu
949. Dejan Vučković, saradnik u nastavi, Fakultet za fizičku hemiju, Univerzitet u Beogradu
950. Sonja Šuvakov, asistent, Medicinski fakultet, Univerzitet u Beogradu
951. Snežana Stojiljković, redovni profesor, Filozofski fakultet Univerziteta u Nišu
952. Nikola Novaković, viši naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
953. Dragan R. Milivojević, naučni saradnik u penziji, Institut za rudarstvo i metalurgiju
954.Jelena Jović, viši naučni saradnik, Institut za zaštitu bilja i životnu sredinu
955. Jelena Božunović, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
956. Kristina Šarić, vanredni profesor, Rudarsko-geološki fakultet, Univerzitet u Beogradu
957. Srđan Savić, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
958. Branko Tomić, viši naučni saradnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
959. Miloš Lukić, viši naučni saradnik, Institut za stočarstvo, Beograd
960. Ivana Boljević, istraživač saradnik, Institut za onkologiju i radiologiju Srbije
961. Stanislav Simin, docent, Poljoprivredni fakultet, Univerzitet u Novom Sadu
962. Ljiljana Gavrilović, naučni savetnik,Etnografski institut SANU
963. Zorana Lužanin, redovni profesor, Prirodno-matematički fakultet,
Univerzitet u Novom Sadu
964. Danijela Tešendić, vanredni profesor, Prirodno-matematički fakultet Univerziteta u Novom Sadu
965. Slavica Dmitrović, naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
966. Irina Subakov, stručni saradnik, Akademija umetnosti, Univerzitet u Novom Sadu
967. Marijana Skorić, naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
968. Ivana Stojanović, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
969. Dušica Filipović Đurđević, vanredna profesorka, Filozofski fakultet,
Univerzitet u Beogradu
970. Biljana Grgurović, profesor strukovnih studija, Visoka škola strukovnih studija za informacione i komunikacione tehnologije, Beograd
971. Vesna Đorđević, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
972. Filip Andrić, docent, Hemijski fakultet, Univerzitet u Beogradu
973. Miloš Vlainić, istraživač saradnik, Institut za fiziku, Univerzitet u Beogradu
974. Goran Bošković, redovni profesor u penziji, Tehnološki fakultet, Univerzitet u Novom Sadu
975. Radosav Vidaković, klinički asistent, Medicinski fakultet, Univerzitet u Beogradu
976. Slobodan N. Savić, redovni profesor, Medicinski fakultet Univerziteta u Beogradu
977. Vladan Bajić, naučni savetnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
978. Saša Stanković, docent, Prirodno-matematički fakultet, Univerzitet u Nišu
979. Irena Petrović, asistent, Filozofski fakultet, Univerzitet u Beogradu
980. Petar Đukić, redovni profesor, Tehnološko-metalurški fakultet,
Univerzitet u Beogradu
981. Branislav Nastasijević, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
982. Ana Kolaković, naučni saradnik, Institut za nuklearne nauke “Vinča”,
Univerzitet u Beogradu
983. Mira Bjelaković, naučni savetnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
984. Dejan Bezbradica, redovni profesor, Tehnološko-metalurški fakultet,
Univerzitet u Beogradu
985. Ana Kramar, naucni saradnik, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
986. Tatjana Kop, naučni saradnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
987. Natalija Bogdanović, docent, Filološko-umetnički fakultet, Univerzitet u Kragujevcu
988. Biljana Nikolić, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
989. Aleksandra Marković, naučni saradnik, Institut za srpski jezik SANU
990. Vladimir Mitić, asistent, Elektronski fakultet u Nišu, Univerzitet u Nišu
991. Gordana Cvijić, redovni profesor u penziji, Biološki fakultet Univerziteta u Beogradu
992. Ivana Pavlović, samostalni umetnički saradnik, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
993. Miljana Milojević, docent, Filozofski fakultet, Univerzitet u Beogradu
994. Irena Novaković, viši naučni saradnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
995. Radojka Vukčević, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
996. Amarela Terzić-Vidojević, naučni savetnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
997. Svetlana Stanarevic, vanredna profesorka, Fakultet bezbednosti, Univerzitet u Beogradu
998. Goran Nikolić, viši naučni saradnik, Institut za evropske studije, Beograd
999. Obrad Peković, vanredni profesor Fakulteta tehničkih nauka Univerziteta u Novom Sadu
1000. Nebojša R. Menković, naučni savetnik, Institut za proučavanje lekovitog bilja “Dr Josif Pančić”, Beograd
1001. Slobodan Radošević, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
1002. Ivana Šenk, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
1003. Sava Magazinović, stručni saradnik, Rudarsko-geološki fakultet, Univerzitet u Beogradu
1004. Kristijan Olah, naučni saradnik, Institut za književnost i umetnost, Beograd
1005. Đurica Grga, redovni profesor, Stomatološki fakultet Univerziteta u Beogradu
1006. Radmila Resanović, redovni profesor, Fakultet veterinarske medicine, Univerzitet u Beogradu
1007. Mila Pucar, naučni savetnik u penziji, Institut za arhitekturu i urbanizam Srbije, Beograd
1008. Milica Rašić Amon, istraživač saradnik, Istraživačko razvojni centar “Alfatec”, Univerzitet u Nišu
1009. Milovan Živković, redovni profesor, Poljoprivredni fakultet,
Univerzitet u Beogradu
1010. Ljiljana Vračar, redovni profesor u penziji, Tehnološko-metalurški
fakultet, Univerzitet u Beogradu
1011. Miloš Jovanović, stručni saradnik, Biološki fakultet, Univerzitet u Beogradu
1012. Maja Natić, vanredni profesor, Hemijski fakultet, Univerzitet u Beogradu
1013. Milan Igrutinović, istraživač-saradnik, Institut za evropske studije, Beograd
1014. Ljiljana Đukanović, docent, Arhitektonski fakultet Univerziteta u Beogradu
1015. Goran Savić, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
1016. Nikola Maravić, asistent, Tehnološki fakultet, Univerzitet u Novom Sadu
1017. Predrag Osmokrovic, redovni profesor u penziji, Elektrotehnički fakultet, Univerzitet u Beogradu
1018. Nikola Nikačević, vanredni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1019. Dragana Dimitrijević, docent, Filozofski fakultet Univerziteta u Beogradu
1020. Karmen Stankov, redovni profesor, Medicinski fakultet, Univerzitet u Novom Sadu
1021. Aleksandar Čupić, docent, Saobraćajni fakultet, Univerzitet u Beogradu
1022. Mirjana Senić Ružić, asistent, Filozofski fakultet, Univerzitet u Beogradu
1023. Zorica Ivanovic, docent, Filozofski fakultet, Univerzitet u Beogradu
1024. Velimir Šećerov, redovni profesor, Geografski fakultet, Univerzitet u Beogradu
1025. Sanja Pajić, vanredni profesor, Filološko-umetnički fakultet, Univerzitet u Kragujevcu
1026. Dejan Šabić, redovni profesor, Geografski fakultet, Univerzitet u Beogradu
1027. Ivan Ratkaj, redovni profesor, Geografski fakultet, Univerzitet u Beogradu
1028. Borislav Stojkov, redovni profesor u penziji, Geografski fakultet, Univerzitet u Beogradu
1029. Bogdan Lukić, vanredni profesor, Geografski fakultet, Univerzitet u Beogradu
1030. Sanja Manojlović, vanredni profesor, Geografski fakultet, Univerzitet u Beogradu
1031. Marija Belij, docent, Geografski fakultet, Univerzitet u Beogradu
1032. Bojan Vračarević, asistent, Geografski fakultet, Univerzitet u Beogradu
1033. Aleksandar Kapuran, viši naučni saradnik,Arheološki institut u Beogradu
1034. Vuk Stambolović, vanredni profesor u penziji, Medicinski fakultet,  Univerzitet u Beogradu
1035. Boško Blagojević, docent, Poljoprivredni fakultet, Univerzitet u Novom Sadu
1036. Gvozden Eror, naučni savetnik u penziji, Institut za književnost i umetnost, Beograd
1037. Hristina Stevanović Čarapina,  vanredni profesor u penziji,  Fakultet zaštite životne sredine, Univerzitet Educons
1038. Aleksandra Mitrović, naučni savetnik u penziji, Institut za ispitivanje materijala, Beograd
1039. Danijela S. Petrović, vanredna profesorka, Filozofski fakultet, Univerzitet u Beogradu
1040. Bojan Bondžić, viši naučni saradnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
1041. Milan Stančić, docent, Filozofski fakultet, Univerzitet u Beogradu
1042. Ivana Živaljević, naučni saradnik, Institut BioSens, Univerzitet u Novom Sadu
1043. Čedomir Vasić, profesor emeritus, , Univerzitet umetnosti u Beogradu
1044. Teodor Ast, redovni profesor u penziji, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1045. Miloš Marković, vanredni profesor, Medicinski fakultet, Univerzitet u Beogradu
1046. Boris Popov, docent, Filozofski fakultet, Univerzitet u Novom Sadu
1047. Ivan Ćirić, docent,  Mašinski fakultet, Univerzitet u Nišu
1048. Emina Mihajlović, redovni profesor, Fakultet zaštite na radu, Univerzitet u Nišu
1049. Petar S. Milosavljević, redovni profesor, Fakultet veterinarske medicine, Univerzitet u Beogradu
1050. Stefan Stošić, istraživač-saradnik, Institut za zaštitu bilja i životnu sredinu
1051. Vanja Bugarski-Stanojević, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1052. Ljubomir Jevtović, istraživač saradnik, Arheološki institut
1053. Tatjana Stević, naučni saradnik, Institut za proučavanje lekovitog bilja “Dr Josif Pančić”
1054. Miloš Tešić, redovni profesor u penziji, Fakultet tehničkih nauka,  Univerzitet u Novom Sadu
1055. Sanja Marinović, naučni saradnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
1056. Tatjana Varljen, stručni saradnik, Medicinski fakultet, Univerzitet u
Beogradu
1057. Stanislava Stanojević, naučni savetnik, Institut za virusologiju, vakcine i serume “Torlak”
1058. Snežana Miletić, asistent, Ekonomski fakultet, Univerzitet u Beogradu
1059. Dragan Uskoković, naučni savetnik, Institut tehničkih nauka SANU, Beograd
1060. Marija Čolić, asistent, Fakultet sporta i fizičkog vaspitanja, Univerzitet u Beogradu
1061. Olivera Milošević, naučni savetnik, Institut tehničkih nauka SANU, Beograd
1062. Žanka Bojić-Trbojević, viši naučni saradnik, Institut za primenu nuklearne energije, Univerzitet u Beogradu
1063.Vesna Ivanović, viši naučni saradnik u penziji, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1064. Željko Ivaniš, redovni profesor u penziji, Fakultet bezbednosti, Univerzitet u Beogradu
1065. Slađana Spasić, naučni savetnik, Institut za multidisciplinarna istraživanja, Univerzitet u Beogradu
1066. Jelena Pavlović, naučni saradnik, Institut za multidisciplinarna  istraživanja, Univerzitet u Beogradu
1067. Sanja Vujnović, docent, Elektrotehnički fakultet, Univerzitet u Beogradu
1068. Aca Krinulović, viši stručni saradnik,Institut “Mihajlo Pupin” Beograd, Univerzitet u Beogradu
1069. Lidija Mančić, naučni savetnik, Institut tehničkih nauka SANU
1070. Vladimir Jovanović, naučni saradnik, Institut za multidisciplinarna istraživanja, Univerzitet u Beogradu
1071. Jovan Radunović, redovni profesor u penziji, Elektrotehnički fakultet, Univerzitet u
Beogradu
1072. Ivana Pajic-Lijaković, naučni savetnik, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1073.  Predrag Tadić, docent, Elektrotehnički fakultet, Univerzitet u Beogradu
1074. Milan Savić,redovni profesor u penziji, Elektrotehnički fakultet, Univerzitet u Beogradu
1075. Stanislava Stošić-Grujičić, naučni savetnik u penziji, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1076. Tatjana Šoštarić, naučni saradnik, Institut za tehnologiju nuklearnih i drugih mineralnih sirovina, Beograd
1077. Nada Majkić-Singh, redovni profesor u penziji, Farmaceutski fakultet, Univerzitet u Beogradu
1078. Aleksandra Dekanski, naučni savetnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
1079. Miroslav Šilić, docent,  Akademija umetnosti, Univerzitet u Novom Sadu
1080. Milica Mitrović, docent, Filozofski fakultet, Univerzitet u Nišu
1081. Dejan Ivezić, redovni profesor, Rudarsko-geološki fakultet, Univerzitet u Beogradu
1082. Vesna Bjegović-Mikanović, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
1083. Bojana Krstonošić, docent, Medicinski fakultet, Univerzitet u Novom Sadu
1084. Goran S. Djordjević, redovni profesor,  Prirodno-matematički fakultet, Univerzitet u Nišu
1085. Ivica Marušević, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
1086. Tijana Karić, istraživač-saradnik, Institut za kriminološka i sociološka istraživanja, Beograd
1087. Sanja Batić Očovaj, asistentkinja,  Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
1088. Olivera Žižović, docent, Departman za filološke nauke, Državni univerzitet u Novom Pazaru
1089. Anđeljko Petrović,  vanredni profesor , Biološki fakultet, Univerzitet u Beogradu
1090. Danijela Đorović, vanredni profesor, Filozofski fakultet, Univerzitet u Beogradu
1091. Ana Alil, istraživač saradnik, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1092. Miroslav Kopečni, naučni savetnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1093. Marina Stanić, naučni saradnik, Institut za multidisciplinarna istraživanja, Univerzitet u Beogradu
1094. Aleksandar Cvetanović, redovni profesor u penziji, Građevinski fakultet, Univerzitet u Beogradu
1095. Aleksandar Leposavić, naučni saradnik, Institut za voćarstvo, Čačak
1096. Bogdan Brković, asistent, Elektrotehnički fakultet, Univerzitet u Beogradu
1097. Duška Blagojević, redovni profesor, Medicinski fakultet, Univerzitet u Novom Sadu
1098. Sanja Radičević, naučni saradnik, Institut za voćarstvo, Čačak
1099. Mirjana Divac Jovanović, vanredni profesor, Fakultet za medije i komunikacije, Univerzitet Singidunum, Beograd
1100. Aleksandar Ivić, redovni profesor, Rudarsko-geološki fakultet, Univerzitet u Beogradu
0.    Aleksandar Ivić, redovni član SANU
1101. Slađana Marić, viši naučni saradnik, Institut za voćarstvo, Čačak
1102. Mira Milisavljević, naučni saradnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
1103. Ana Stolić, viša naučna saradnica, Istorijski institut, Beograd
1104. Milica Markelić, docent, Biološki fakultet , Univerzitet u Beogradu
1105. Gordana Malovic, naučni savetnik, Institut za fiziku, Univerzitet u Beogradu
1106. Vladan Jovanović, viši naučni saradnik, Institut za noviju istoriju Srbije
1107. Mihajla Đan, redovni profesor, Prirodno-matematički fakultet,
Univerzitet u Novom Sadu
1108. Milica Milojević, docent, Arhitektonski fakultet, Univerzitet u Beogradu
1109. Marija Dragojlović, redovni profesor u penziji, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
1110. Tatjana Kaluđerovic Radoičić, vanredni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1111. Gordana Kozoderović, vanredni profesor, Pedagoški fakultet u Somboru, Univerzitet u Novom Sadu
1112. Lora Petronić Petrović, nastavnica španskog jezika, Fakultet zdravstvenih, pravnih i poslovnih studija, Univerzitet Singidunum
1113. Milica Nedeljković, istraživač saradnik, Institut za onkologiju i radiologiju Srbije
1114. Anica Horvat, naučni savetnik u penziji, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1115. Lela Korićanac, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1116. Jakov Andrijašević, istraživač-saradnik, Rudarsko-geološki fakultet, Univerzitet u Beogradu
1117. Ivana Klun, viši naučni saradnik, Instut za medicinska istraživanja, Univerzitet u Beogradu
1118. Rajko N. Dimitrijević, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
1119. Nenad Vranješ, viši naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
1120. Mirjana Atanacković, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
1121. Saša Minić, viši stručni saradnik, Elektrotehnički institut “Nikola Tesla”, Univerzitet u Beogradu
1122. Vladimir Adamović, istraživač saradnik, Institut za tehnologiju nuklearnih i drugih mineralnih sirovina, Beograd
1123. Zorka Kašić, redovni profesor u penziji, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
1124. Milutin Kostić, klinički asistent,  Medicinski fakultet, Univerzitet u Beogradu
1125. Mirjana Đukić, redovni profesor, Farmaceutski fakultet, Univerzitet u Beogradu
1126. Anja Ilić Božović, asistent, Fakultet veterinarske medicine, Univerzitet u Beogradu
1127. Tatjana Volkov Husović, redovni profesor, Tehnološko-metalurški fakultet,  Univerzitet u Beogradu
1128. Milena Milićević, naučni saradnik, Institut za kriminološka i sociološka istraživanja, Beograd
1129. Milica Mirić, docent, Filozofski fakultet, Univerzitet u Beogradu
1130. Marija Jakovljević, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”,  Univerzitet u Beogradu
1131. Ana Vjetrov, asistent, Fakultet FEFA, Univerzitet Metropolitan
1132. Dejana Vuković,  redovni profesor,  Medicinski fakultet, Univerzitet u Beogradu
1133. Jelena Penjišević, naučni saradnik, Institut za hemiju, tehnologiju i metalurgiju,  Univerzitet u Beogradu
1134. Zorica Milošević, docent, Filozofski fakultet, Univerzitet u Beogradu
1135. Miroslav Demajo, naučni savetnik u penziji, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1136. Milena Gošić Arama, docent, Filozofski fakultet, Univerzitet u Beogradu
1137. Dragana Bogdanović-Stojanović, vanredni profesor, Medicinski fakultet, Univerzitet u Novom Sadu
1138. Milan Dabović, naučni savetnik u penziji, Institut za hemiju, tehnologiju i metalurgiju,  Univerzitet u Beogradu
1139. Filip Radovanović, viši naučni saradnik, Institut tehničkih nauka SANU
1140. Marija Vranješ Milosavljević, viši naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
1141. Slađana Marić, viši naučni saradnik, Institut za voćarstvo, Čačak
1142. Mihajlo Ćirić, istraživač saradnik, Institut za ratarstvo i povrtarstvo, Novi Sad
1143. Aleksandra Stefanović, vanredni profesor, Farmaceutski fakultet, Univerzitet u Beogradu
1144. Aleksandra Zeljković, vanredni profesor,  Farmaceutski fakultet, Univerzitet u Beogradu
1145. Katarina Stojanović, docent, Biološki fakultet, Univerzitet u Beogradu
1146. Jelisaveta Čkrkić, istraživač saradnik, Biološki fakultet, Univerzitet u Beogradu
1147. Korana Kocić, istraživač saradnik, Biološki fakultet, Univerzitet u Beogradu
1148. Bojana Obradović, redovni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1149. Gorana Stamenković, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1150. Srđan Hofman, profesor emeritus,  Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
1151. Radmila Pavlović, redovni profesor u penziji, Rudarsko-geološki fakultet, Univerzitet u Beogradu
1152. Dragana Ćorović, docent, Šumarski fakultet, Univerzitet u Beogradu
1153. Gorčin Cvijanović, naučni saradnik, Institut za multidisciplinarna istraživanja, Univerzitet u Beogradu
1154. Manja Zec, naučni saradnik, Institut za medicinska istraživanja, Univerzitet u Beogradu
1155. Miroljub Vilotijević, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
1156. Iva Božić, naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1157. Ozren Ocić, redovni profesor u penziji, , Univerzitet Union - Nikola Tesla
1158. Marija Tešić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Novom Sadu
1159. Suzana Cvjetićanin, vanredni profesor, Medicinski fakultet, Univerzitet u Beogradu
1160. Bojan Jevtić, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1161. Marko Joksimović, docent, Geografski fakultet, Univerzitet u Beogradu
1162. Ivan Koprivica, istraživač pripravnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1163. Neda Đedović, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1164. Dušan Mojić, vanredni profesor, Filozofski fakultet, Univerzitet u Beogradu
1165. Dragana Dulić, redovni profesor u penziji, Fakultet bezbednosti, Univerzitet u Beogradu
1166. Đokica Jovanović, redovni profesor u penziji, Filozofski fakultet, Univerzitet u Beogradu
1167. Vladimir Kovačević, redovni profesor, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
1168. Nikša Jakovljević, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
1169. Igor Stanković, viši naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
1170. Nada Dobrota Davidović, redovni profesor, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
1171. Miljana Momčilović, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1172. Zoran Stojiljković, redovni profesor, Fakultet političkih nauka, Univerzitet u Beogradu
1173. Danica Petrović, redovni profesor u penziji, Akademija umetnosti, Univerzitet u Novom Sadu
0.    Danica Petrović, naučni savetnik u penziji, Muzikološki institut SANU
1174. Predrag Osmokrović, redovni profesor, Elektrotehnički fakultet, Univerzitet u Beogradu
1175. Kristina Pekeč, asistent, Filozofski fakultet, Univerzitet u Beogradu
1176. Danka Maslić-Strižak, naučni saradnik u penziji, Naučni institut za veterinarstvo Srbije, Beograd
1177. Voja Radovanović, redovni profesor, Fizički fakultet, Univerzitet u Beogradu
1178. Ivana Janković, istraživač saradnik, Filozofski fakultet, Univerzitet u Beogradu
1179. Nataša Ilić, viši naučni saradnik, Institut za primenu nuklearne energije, Univerzitet u Beogradu
1180. Mladen Furtula, docent, Šumarski fakultet, Univerzitet u Beogradu
1181. Ivana Stojanović Prelević, docent, Filozofski fakultet, Univerzitet u Nišu
1182. Ljubica Harhaji Trajković,  viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1183.  Svetozar Čiplić, docent, Pravni fakultet,  Univerzitet u Novom Sadu
1184. Radislav Dimitrijević, redovni profesor u penziji, Prirodno-matematički fakultet, Univerzitet u Nišu
1185. Vera Pravica, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
1186. Aleksandra Majdarević, asistentkinja, Fakultet FEFA, Univerzitet Metropolitan
1187. Darijan Mihajlović, vanredni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
1188. Velizar Stanković, redovni profesor u penziji, Tehnički fakultet u Boru, Univerzitet u Beogradu
1189. Konstantin Ilijević, docent, Hemijski fakultet, Univerzitet u Beogradu
1190. Anja Tolić, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1191. Ivana Šarac, naučni saradnik, Institut za medicinska istraživanja, Univerzitet u Beogradu
1192. Mladen Marković, docent, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
1193. Vesna Đikanović, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
1194. Milan Prosen, docent, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
1195. Ljubiša Đorđević, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
1196. Mihailo Savić, istraživač saradnik, Institut za fiziku, Univerzitet u Beogradu
1197. Dejan Bulić, naučni saradnik,  Istorijski institut, Beograd
1198. Saša Kočinac, redovni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1199. Ratko Sukara, istraživač saradnik, Institut za medicinska istraživanja, Univerzitet u Beogradu
1200. Irina Subotić, profesor emeritus, Akademija umetnosti, Univerzitet u Novom Sadu
1201. Rada Pjanović, vanredni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
1202. Goran Mladenović, vanredni profesor, Građevinski fakultet, Univerzitet u Beogradu
1203. Milan Kalajdžić, docent, Mašinski fakultet, Univerzitet u Beogradu
1204. Boban Tripković,  docent,  Filozofski fakultet, Univerzitet u Beogradu
1205. Branislava Lakušić, redovna profesorka,  Farmaceutski fakultet, Univerzitet u Beogradu
1206. Jelena Vekić, vanredni profesor, Farmaceutski fakultet, Univerzitet u Beogradu
